SEPBC	 Closing Rate 	16.5%
SEPBC	 VPG 	 3,894 
SEPBC	 Volume 	 965,752 
SEPDC	 Arrivals 	 2,201 
SEPDC	 % Penetración 	12.8%
SEPDC	 Q's 	 282 
SEPDC	 Contracts 	 77 
SEPDC	 Average Price 	 31,347 
SEPDC	 Closing Rate 	27.3%
SEPDC	 VPG 	 8,559 
SEPDC	 Volume 	 2,413,720 
SEVCU	 Arrivals 	 1,748 
SEVCU	 % Penetración 	9.5%
SEVCU	 Q's 	 166 
SEVCU	 Contracts 	 27 
SEVCU	 Average Price 	 16,648 
SEVCU	 Closing Rate 	16.3%
SEVCU	 VPG 	 2,708 
SEVCU	 Volume 	 449,505 
NOECU	 Arrivals 	 1,088 
NOECU	 % Penetración 	16.2%
NOECU	 Q's 	 176 
NOECU	 Contracts 	 29 
NOECU	 Average Price 	 18,459 
NOECU	 Closing Rate 	16.5%
NOECU	 VPG 	 3,042 
NOECU	 Volume 	 535,323 
CUNIF	 Arrivals 	 1,233 
CUNIF	 % Penetración 	10.6%
CUNIF	 Q's 	 131 
CUNIF	 Contracts 	 18 
CUNIF	 Average Price 	 14,643 
CUNIF	 Closing Rate 	13.7%
CUNIF	 VPG 	 2,012 
CUNIF	 Volume 	 263,565 
CANIA	 Arrivals 	 748 
CANIA	 % Penetración 	12.6%
CANIA	 Q's 	 94 
CANIA	 Contracts 	 16 
CANIA	 Average Price 	 24,306 
CANIA	 Closing Rate 	17.0%
CANIA	 VPG 	 4,137 
CANIA	 Volume 	 388,898 
CANIF	 Arrivals 	 1,427 
CANIF	 % Penetración 	2.7%
CANIF	 Q's 	 38 
CANIF	 Contracts 	 6 
CANIF	 Average Price 	 16,804 
CANIF	 Closing Rate 	15.8%
CANIF	 VPG 	 2,653 
CANIF	 Volume 	 100,826 
CUNIA	 Arrivals 	 688 
CUNIA	 % Penetración 	3.8%
CUNIA	 Q's 	 26 
CUNIA	 Contracts 	 6 
CUNIA	 Average Price 	 17,829 
CUNIA	 Closing Rate 	23.1%
CUNIA	 VPG 	 4,114 
CUNIA	 Volume 	 106,972 
HVPDC	 Arrivals 	 1,299 
HVPDC	 % Penetración 	6.5%
HVPDC	 Q's 	 85 
HVPDC	 Contracts 	 16 
HVPDC	 Average Price 	 17,832 
HVPDC	 Closing Rate 	18.8%
HVPDC	 VPG 	 3,357 
HVPDC	 Volume 	 285,318 
SUCUN	 Arrivals 	 1,225 
SUCUN	 % Penetración 	6.7%
SUCUN	 Q's 	 82 
SUCUN	 Contracts 	 8 
SUCUN	 Average Price 	 16,199 
SUCUN	 Closing Rate 	9.8%
SUCUN	 VPG 	 1,580 
SUCUN	 Volume 	 129,591 
BRCSL	 Arrivals 	 583 
BRCSL	 % Penetración 	9.4%
BRCSL	 Q's 	 55 
BRCSL	 Contracts 	 14 
BRCSL	 Average Price 	 19,019 
BRCSL	 Closing Rate 	25.5%
BRCSL	 VPG 	 4,841 
BRCSL	 Volume 	 266,264 
DRELC	 Arrivals 	 959 
DRELC	 % Penetración 	14.5%
DRELC	 Q's 	 139 
DRELC	 Contracts 	 38 
DRELC	 Average Price 	 21,700 
DRELC	 Closing Rate 	27.3%
DRELC	 VPG 	 5,932 
DRELC	 Volume 	 824,596 
SEPLC	 Arrivals 	 1,605 
SEPLC	 % Penetración 	14.8%
SEPLC	 Q's 	 238 
SEPLC	 Contracts 	 64 
SEPLC	 Average Price 	 17,953 
SEPLC	 Closing Rate 	26.9%
SEPLC	 VPG 	 4,828 
SEPLC	 Volume 	 1,148,988 
ZOCDM	 Arrivals 	 191 
ZOCDM	 % Penetración 	10.5%
ZOCDM	 Q's 	 20 
ZOCDM	 Contracts 	 5 
ZOCDM	 Average Price 	 29,050 
ZOCDM	 Closing Rate 	25.0%
ZOCDM	 VPG 	 7,262 
ZOCDM	 Volume 	 145,249 
SJDIF	 Arrivals 	 1,212 
SJDIF	 % Penetración 	4.3%
SJDIF	 Q's 	 52 
SJDIF	 Contracts 	 9 
SJDIF	 Average Price 	 18,221 
SJDIF	 Closing Rate 	17.3%
SJDIF	 VPG 	 3,154 
SJDIF	 Volume 	 163,986 
DRVPV	 Arrivals 	 803 
DRVPV	 % Penetración 	16.4%
DRVPV	 Q's 	 132 
DRVPV	 Contracts 	 22 
DRVPV	 Average Price 	 15,314 
DRVPV	 Closing Rate 	16.7%
DRVPV	 VPG 	 2,552 
DRVPV	 Volume 	 336,908 
SEVPV	 Arrivals 	 565 
SEVPV	 % Penetración 	27.8%
SEVPV	 Q's 	 157 
SEVPV	 Contracts 	 31 
SEVPV	 Average Price 	 20,731 
SEVPV	 Closing Rate 	19.7%
SEVPV	 VPG 	 4,093 
SEVPV	 Volume 	 642,652 
SUNPV	 Arrivals 	 888 
SUNPV	 % Penetración 	8.4%
SUNPV	 Q's 	 75 
SUNPV	 Contracts 	 11 
SUNPV	 Average Price 	 11,105 
SUNPV	 Closing Rate 	14.7%
SUNPV	 VPG 	 1,629 
SUNPV	 Volume 	 122,155 
DRBMI	 Arrivals 	 797 
DRBMI	 % Penetración 	15.3%
DRBMI	 Q's 	 122 
DRBMI	 Contracts 	 32 
DRBMI	 Average Price 	 17,193 
DRBMI	 Closing Rate 	26.2%
DRBMI	 VPG 	 4,510 
DRBMI	 Volume 	 550,178 
SEBMI	 Arrivals 	 563 
SEBMI	 % Penetración 	20.9%
SEBMI	 Q's 	 118 
SEBMI	 Contracts 	 24 
SEBMI	 Average Price 	 20,537 
SEBMI	 Closing Rate 	20.3%
SEBMI	 VPG 	 4,177 
SEBMI	 Volume 	 492,884 
DRMZT	 Arrivals 	 835 
DRMZT	 % Penetración 	14.1%
DRMZT	 Q's 	 118 
DRMZT	 Contracts 	 26 
DRMZT	 Average Price 	 13,199 
DRMZT	 Closing Rate 	22.0%
DRMZT	 VPG 	 2,908 
DRMZT	 Volume 	 343,167 
SUDIX	 Arrivals 	 727 
SUDIX	 % Penetración 	11.3%
SUDIX	 Q's 	 82 
SUDIX	 Contracts 	 10 
SUDIX	 Average Price 	 12,208 
SUDIX	 Closing Rate 	12.2%
SUDIX	 VPG 	 1,489 
SUDIX	 Volume 	 122,083 
DREHU	 Arrivals 	 1,175 
DREHU	 % Penetración 	16.6%
DREHU	 Q's 	 195 
DREHU	 Contracts 	 30 
DREHU	 Average Price 	 14,728 
DREHU	 Closing Rate 	15.4%
DREHU	 VPG 	 2,266 
DREHU	 Volume 	 441,837 
SECHU	 Arrivals 	 957 
SECHU	 % Penetración 	18.8%
SECHU	 Q's 	 180 
SECHU	 Contracts 	 39 
SECHU	 Average Price 	 14,915 
SECHU	 Closing Rate 	21.7%
SECHU	 VPG 	 3,232 
SECHU	 Volume 	 581,689 
SEPCR	 Arrivals 	 771 
SEPCR	 % Penetración 	16.1%
SEPCR	 Q's 	 124 
SEPCR	 Contracts 	 34 
SEPCR	 Average Price 	 18,150 
SEPCR	 Closing Rate 	27.4%
SEPCR	 VPG 	 4,977 
SEPCR	 Volume 	 617,106 
DDPBP	 Arrivals 	 769 
DDPBP	 % Penetración 	9.8%
DDPBP	 Q's 	 75 
DDPBP	 Contracts 	 16 
DDPBP	 Average Price 	 19,552 
DDPBP	 Closing Rate 	21.3%
DDPBP	 VPG 	 4,171 
DDPBP	 Volume 	 312,826 
PVRIF	 Arrivals 	 1,007 
PVRIF	 % Penetración 	8.1%
PVRIF	 Q's 	 82 
PVRIF	 Contracts 	 17 
PVRIF	 Average Price 	 13,718 
PVRIF	 Closing Rate 	20.7%
PVRIF	 VPG 	 2,844 
PVRIF	 Volume 	 233,209 
BREPC	 Arrivals 	 2,571 
BREPC	 % Penetración 	11.2%
BREPC	 Q's 	 287 
BREPC	 Contracts 	 34 
BREPC	 Average Price 	 17,102 
BREPC	 Closing Rate 	11.8%
BREPC	 VPG 	 2,026 
BREPC	 Volume 	 581,485 
DREDL	 Arrivals 	 1,506 
DREDL	 % Penetración 	4.3%
DREDL	 Q's 	 65 
DREDL	 Contracts 	 14 
DREDL	 Average Price 	 18,453 
DREDL	 Closing Rate 	21.5%
DREDL	 VPG 	 3,975 
DREDL	 Volume 	 258,348 
DRECC	 Arrivals 	 1,282 
DRECC	 % Penetración 	10.7%
DRECC	 Q's 	 137 
DRECC	 Contracts 	 21 
DRECC	 Average Price 	 16,689 
DRECC	 Closing Rate 	15.3%
DRECC	 VPG 	 2,558 
DRECC	 Volume 	 350,474 
DREPE	 Arrivals 	 1,377 
DREPE	 % Penetración 	4.4%
DREPE	 Q's 	 60 
DREPE	 Contracts 	 9 
DREPE	 Average Price 	 21,235 
DREPE	 Closing Rate 	15.0%
DREPE	 VPG 	 3,185 
DREPE	 Volume 	 191,114 
DRFPC	 Arrivals 	 1,510 
DRFPC	 % Penetración 	9.8%
DRFPC	 Q's 	 148 
DRFPC	 Contracts 	 24 
DRFPC	 Average Price 	 19,113 
DRFPC	 Closing Rate 	16.2%
DRFPC	 VPG 	 3,099 
DRFPC	 Volume 	 458,715 
DRMPC	 Arrivals 	 1,734 
DRMPC	 % Penetración 	9.2%
DRMPC	 Q's 	 159 
DRMPC	 Contracts 	 26 
DRMPC	 Average Price 	 20,257 
DRMPC	 Closing Rate 	16.4%
DRMPC	 VPG 	 3,312 
DRMPC	 Volume 	 526,673 
DROPC	 Arrivals 	 2,727 
DROPC	 % Penetración 	9.0%
DROPC	 Q's 	 246 
DROPC	 Contracts 	 32 
DROPC	 Average Price 	 25,082 
DROPC	 Closing Rate 	13.0%
DROPC	 VPG 	 3,263 
DROPC	 Volume 	 802,622 
DRRPC	 Arrivals 	 1,260 
DRRPC	 % Penetración 	10.0%
DRRPC	 Q's 	 126 
